CN_Code,CAS_Number,CUS,EC_Number,UN_Number,Nomen,Name
29349990,32747-18-5,0014340-8,251-191-4,,IUPAC,cytidine sulfate
29349990,29363-79-9,0014347-5,,,INNM,cytarabine hydrochloride
29349990,533-74-4,0014352-2,,2588,ISO,dazomet
29349990,958-09-8,0014420-7,213-488-7,,IUPAC,2'-deoxyadenosine
29349990,653-63-4,0014421-8,211-503-1,,IUPAC,2'-deoxyadenosine 5'-(dihydrogen phosphate)
29349990,74299-50-6,0014422-9,277-809-2,,IUPAC,2'-deoxyadenosine 5'-(disodium dihydrogen triphosphate)
29349990,951-77-9,0014428-5,213-454-1,,IUPAC,2'-deoxycytidine
29349990,6220-63-9,0014429-6,,,IUPAC,2'-deoxycytidine 3'-(dihydrogen phosphate)
29349990,1032-65-1,0014430-9,213-849-9,,IUPAC,2'-deoxycytidine 5'-(dihydrogen phosphate)
29349990,13085-50-2,0014431-0,235-995-2,,IUPAC,2'-deoxycytidine 5'-(disodium phosphate)
29349990,3992-42-5,0014432-1,223-639-9,,IUPAC,2'-deoxycytidine hydrochloride
29349990,6183-74-0,0014433-2,,,IUPAC,2'-deoxycytidine 5'-(sodium trihydrogen triphosphate)
29349990,961-07-9,0014436-5,213-505-8,,IUPAC,2'-deoxyguanosine
29349990,6220-62-8,0014437-6,228-296-9,,IUPAC,2'-deoxyguanosine 3'-(dihydrogen phosphate)
29349990,33430-61-4,0014438-7,251-517-5,,IUPAC,2'-deoxyguanosine 5'-(disodium phosphate)
29349990,74299-51-7,0014439-8,277-810-8,,IUPAC,2'-deoxyguanosine 5'-(tetrasodium triphosphate)
29349990,890-38-0,0014440-1,212-964-1,,IUPAC,2'-deoxyinosine
29349990,838-07-3,0014441-2,212-655-1,,IUPAC,2'-deoxy-5-methylcytidine
29349990,9007-49-2,0014444-5,,,COMMON,deoxyribonucleic acid
29349990,951-78-0,0014446-7,213-455-7,,IUPAC,2'-deoxyuridine
29349990,2922-44-3,0014487-6,,,INNM,dextromoramide hydrogen (+)-tartrate
29349990,74332-65-3,0014510-8,,,IUPAC,"4,4'-(1,3-dihydro-2,1-benzoisoxazol-3-ylidene)diphenyl diacetate"
29349990,364-98-7,0014682-7,,,INN,diazoxide
29349990,132-65-0,0014705-7,205-072-9,,IUPAC,dibenzothiophene
29349990,1016-05-3,0014706-8,213-805-9,,IUPAC,"dibenzothiophene 5,5-dioxide"
29349990,350-12-9,0014748-8,,,INN,sulbentine
29349990,2083-09-2,0014752-4,218-220-2,,IUPAC,"2,5-di(biphenyl-4-yl)oxazole"
29349990,115-40-2,0014780-8,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2-bromo-6-methylphenol)"
29349990,2800-80-8,0014816-3,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2-bromophenol)"
29349990,3141-27-3,0014835-6,221-547-3,,IUPAC,"2,5-dibromothiophene"
29349990,76-59-5,0014836-7,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis[2-bromo-3-methyl-6-(propan-2-yl)phenol]"
29349990,86-15-7,0014854-9,201-652-0,,IUPAC,"4-(2,5-dibutoxy-4-nitrophenyl)morpholine"
29349990,5285-41-6,0015025-4,226-121-0,,IUPAC,"5,6-dichlorobenzoxazol-2(3H)-one"
29349990,4430-20-0,0015127-9,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2-chlorophenol)"
29349990,20354-26-1,0015143-9,243-761-6,,IUPAC,"2-(3,4-dichlorophenyl)-4-methyl-1,2,4-oxadiazolidine-3,5-dione"
29349990,4979-72-0,0015360-6,225-626-3,,IUPAC,"2,5-diethoxy-4-morpholinobenzenediazonium tetrafluoroborate"
29349990,13988-28-8,0015396-8,237-785-6,,IUPAC,"6-(2-diethylaminoethylamino)-2,4,9-trimethylthiochromeno[2,3-b]pyridin-5-one"
29349990,1949-20-8,0015405-2,,,INNM,oxolamine dihydrogen citrate
29349990,1949-19-5,0015406-3,,,INNM,oxolamine dihydrogen phosphate
29349990,86-14-6,0015565-7,,,INN,diethylthiambutene
29349990,58-68-4,0015673-0,,,COMMON,dihydronicotinamide-adenine dinucleotide
29349990,606-68-8,0015674-1,,,COMMON,"dihydronicotinamide-adenine dinucleotide, disodium salt"
29349990,53-57-6,0015675-2,,,COMMON,dihydronicotinamide-adenine dinucleotide phosphate
29349990,2646-71-1,0015676-3,,,COMMON,"dihydronicotinamide-adenine dinucleotide phosphate, tetrasodium salt"
29349990,77-79-2,0015685-4,201-059-7,,IUPAC,"2,5-dihydrothiophene 1,1-dioxide"
29349990,1072-71-5,0015894-1,214-014-1,,IUPAC,"1,3,4-thiadiazolidine-2,5-dithione"
29349990,74347-18-5,0016032-7,,,IUPAC,"N,N,N-trimethyl-4-[2-(naphtho[2,1-d]thiazol-2-yl)vinyl]anilinium iodide"
29349990,74356-30-2,0016168-2,,,IUPAC,"3,5-dimethylisoxazole-4-carboxamide"
29349990,141-91-3,0016183-1,205-509-3,1992,IUPAC,"2,6-dimethylmorpholine"
29349990,23012-11-5,0016223-2,245-380-0,,IUPAC,"2,5-dimethyloxazole"
29349990,3073-87-8,0016250-5,221-349-7,,IUPAC,"1,4-bis(4-methyl-5-phenyloxazol-2-yl)benzene"
29349990,13886-95-8,0016251-6,,,IUPAC,"3,6-dimethyl-1-phenylphosphepane"
29349990,7247-57-6,0016302-0,,,INN,heteronium bromide
29349990,524-84-5,0016303-1,,,INN,dimethylthiambutene
29349990,1003-78-7,0016309-7,213-716-5,,IUPAC,"tetrahydro-2,4-dimethylthiophene 1,1-dioxide"
29349990,638-02-8,0016310-0,211-313-9,,IUPAC,"2,5-dimethylthiophene"
29349990,24602-86-6,0016318-8,,,IUPAC,"2,6-dimethyl-4-tridecylmorpholine"
29349990,6630-26-8,0016336-0,,,IUPAC,"1,6-dimorpholinohexa-2,4-diyne"
29349990,7250-87-5,0016337-1,230-662-8,,IUPAC,"1,3-dimorpholinopropan-2-ol"
29349990,103-34-4,0016338-2,203-103-0,,IUPAC,di(morpholin-4-yl) disulfide
29349990,467-86-7,0016451-2,,,INN,dioxaphetyl butyrate
29349990,58-36-6,0016505-9,200-377-3,1760,IUPAC,diphenoxarsin-10-yl oxide
29349990,92-71-7,0016573-1,202-181-3,,IUPAC,"2,5-diphenyloxazole"
29349990,10321-42-3,0016574-2,,,IUPAC,"2,5-diphenyl-4-oxazolidone"
29349990,1806-34-4,0016575-3,217-304-6,,IUPAC,"1,4-bis(5-phenyloxazol-2-yl)benzene"
29349990,74318-51-7,0016627-8,,,IUPAC,"2-(diisopropylamino)ethyl 10H-pyrido[3,2-b][1,4]benzothiazine-10-carbothioate hydrochloride"
29349990,3347-22-6,0016700-0,,,ISO,dithianon
29349990,1541-81-7,0016804-7,216-278-3,,IUPAC,4-dodecylmorpholine
29349990,1593-77-7,0016815-0,,,ISO,dodemorph
29349990,31717-87-0,0016816-1,,,ISOM,dodemorph acetate
29349990,897-15-4,0016821-8,,,INNM,dosulepin hydrochloride
29349990,7081-53-0,0016823-0,,,INNM,doxapram hydrochloride
29349990,520-77-4,0017172-2,208-297-0,,IUPAC,"3-ethyl-5,5-dimethyloxazolidine-2,4-dione"
29349990,76-51-7,0017177-7,200-967-0,,IUPAC,"5-ethyl-5,10-dihydro-10,10-diphenylphenosilazine"
29349990,78-21-7,0017217-8,201-094-8,,IUPAC,4-ethyl-4-hexadecylmorpholinium ethyl sulfate
29349990,441-61-2,0017341-1,,,INN,ethylmethylthiambutene
29349990,100-74-3,0017346-6,202-885-0,1993,IUPAC,4-ethylmorpholine
29349990,4156-16-5,0017399-9,223-988-7,,IUPAC,2-ethyl-5-phenylisoxazolium-3'-sulfonate
29349990,2810-04-0,0017442-5,220-554-9,,IUPAC,ethyl 2-thenoate
29349990,872-55-9,0017444-7,212-830-2,,IUPAC,2-ethylthiophene
29349990,146-14-5,0017720-8,,,COMMON,flavin-adenine dinucleotide
29349990,15301-69-6,0017722-0,,,INN,flavoxate
29349990,3717-88-2,0017723-1,,,INNM,flavoxate hydrochloride
29349990,2385-81-1,0017861-0,,,INN,furethidine
29349990,525-79-1,0017866-5,,,IUPAC,furfuryl(purin-6-yl)amine
29349990,1254646-66-6,0017867-6,,,IUPAC,1-furfuryl-4-(3-hydroxyphenyl)-4-propionylpiperidinium chloride
29349990,118-00-3,0018097-2,204-227-8,,IUPAC,guanosine
29349990,117-68-0,0018098-3,204-202-1,,IUPAC,guanosine 3'-(dihydrogen phosphate)
29349990,74646-23-4,0018099-4,,,IUPAC,guanosine 3'-(dipotassium phosphate)
29349990,56001-37-7,0018100-0,259-940-7,,IUPAC,guanosine 5'-(disodium dihydrogen triphosphate)
29349990,7415-69-2,0018101-1,231-026-2,,IUPAC,guanosine 5'-(disodium hydrogen pyrophosphate)
29349990,5550-12-9,0018102-2,226-914-1,,IUPAC,guanosine 5'-(disodium phosphate)
29349990,14356-96-8,0018103-3,238-324-1,,IUPAC,guanosine 5'-(tetrasodium triphosphate)
29349990,15489-90-4,0018108-8,239-518-9,,IUPAC,"dihydrogen [3,3'-(7,12-diethenyl-3,8,13,17-tetramethylporphyrin-2,18-diyl-κ4N21,N22,N23,N24)dipropanoato(4-)](hydroxy)ferrate(2-)"
29349990,6038-19-3,0018396-0,227-923-3,,IUPAC,3-aminodihydrothiophen-2(3H)-one hydrochloride
29349990,56440-86-9,0018433-8,260-184-5,,IUPAC,1-hydrazino-3-morpholinopropan-2-ol
29349990,95-18-1,0018520-6,,,IUPAC,"4-hydroxy-1,3-benzoxathiol-2-one"
29349990,1827-91-4,0018576-2,,,IUPAC,2-(2-(4-(3-(2-trifluoromethylphenothiazin-10-yl)propyl)piperazin-1-yl)ethoxy)ethanol dihydrochloride
29349990,1998-18-1,0018606-1,,,IUPAC,2-(4-(3-(2-trifluoromethylphenoxazin-10-yl)propyl)piperazin-1-yl)ethanol
29349990,10155-47-2,0018665-2,233-426-2,,IUPAC,3-hydroxy-N-(3-morpholinopropyl)-2-naphthamide
29349990,835-64-3,0018711-1,212-642-0,,IUPAC,2-benzoxazol-2-ylphenol
29349990,1008-65-7,0018717-7,,,INN,fenadiazole
29349990,14683-61-5,0018789-3,238-724-6,,IUPAC,8-quinolyl β-D-glucopyranosiduronic acid
29349990,957-77-7,0018808-9,213-487-1,,IUPAC,5-hydroxyuridine
29349990,54-42-2,0018837-4,,,INN,idoxuridine
29349990,318-23-0,0018852-3,,,INN,imolamine
29349990,15823-89-9,0018853-4,,,INNM,imolamine hydrochloride
29349990,58-63-9,0018886-3,,,INN,inosine
29349990,,0018887-4,,,COMMON,inosine phosphates and metal salts thereof
29349990,3437-95-4,0018975-3,222-342-1,,IUPAC,2-iodothiophene
29349990,,0019003-4,,,COMMON,iron deoxyribonucleate
29349990,118-48-9,0019015-8,204-255-0,,IUPAC,"4H-3,1-benzoxazine-2,4(1H)-dione"
29349990,59-63-2,0019018-1,,,INN,isocarboxazid
29349990,482-15-5,0019033-0,,,INN,isothipendyl
29349990,1225-60-1,0019034-1,,,INNM,isothipendyl hydrochloride
29349990,42249-61-6,0019055-6,,,COMMON,resorcin blue
29349990,14769-73-4,0019200-7,,,INN,levamisole
29349990,5666-11-5,0019203-0,,,INN,levomoramide
29349990,479-50-5,0019313-5,,,INN,lucanthone
29349990,548-57-2,0019314-6,,,INNM,lucanthone hydrochloride
29349990,,0019474-1,,,COMMON,manganese deoxyribonucleate
29349990,494-79-1,0019571-1,,,INN,melarsoprol
29349990,2382-96-9,0019620-3,219-191-9,,IUPAC,benzoxazole-2-thiol
29349990,6336-51-2,0019628-1,,,COMMON,"5-mercapto-3-phenyl-1,3,4-thiadiazole-2(3H)-thione, potassium salt"
29349990,135-58-0,0019700-2,,,INN,mesulfen
29349990,1665-48-1,0019709-1,,,INN,metaxalone
29349990,493-78-7,0019737-5,,,INN,methaphenilene
29349990,74498-85-4,0019738-6,,,INNM,methaphenilene fumarate
29349990,91-80-5,0019739-7,,,INN,methapyrilene
29349990,33032-12-1,0019740-0,,,INNM,methapyrilene fumarate
29349990,135-23-9,0019741-1,,,INNM,methapyrilene hydrochloride
29349990,4969-02-2,0019756-8,,,INN,metixene
29349990,1553-34-0,0019757-9,,,INNM,metixene hydrochloride
29349990,70-07-5,0019841-4,,,INN,mephenoxalone
29349990,532-11-6,0019847-0,208-528-5,,IUPAC,"5-(4-methoxyphenyl)-1,2-dithiole-3-thione"
29349990,2818-88-4,0019945-1,220-577-4,,IUPAC,2-methylbenzoselenazole
29349990,95-21-6,0019949-5,202-399-9,,IUPAC,2-methylbenzoxazole
29349990,2439-01-2,0020083-9,,,ISO,chinomethionat
29349990,548-71-0,0020156-9,208-956-2,,IUPAC,"3-(6-(2-dimethylaminoethyl)-1,3-benzodioxol-5-ylmethylene)-6,7-dimethoxyisoindolin-1-one hydrochloride"
29349990,109-02-4,0020211-9,203-640-0,2535,IUPAC,4-methylmorpholine
29349990,2682-45-3,0020215-3,220-240-1,,IUPAC,"2-methylnaphtho[1,2-d]thiazole"
29349990,61931-68-8,0020300-9,263-330-6,,IUPAC,2-methyl-5-phenylbenzoxazole
29349990,554-14-3,0020423-9,209-063-0,,IUPAC,2-methylthiophene
29349990,616-44-4,0020424-0,210-482-6,,IUPAC,3-methylthiophene
29349990,6536-18-1,0020510-7,,,INN,morazone
29349990,50321-35-2,0020511-8,,,INNM,morazone hydrochloride
29349990,3731-59-7,0020513-0,,,INN,moroxydine
29349990,469-81-8,0020514-1,,,INN,morpheridine
29349990,110-91-8,0020525-4,203-815-1,2054,IUPAC,morpholine
29349990,147-90-0,0020526-5,205-703-8,,IUPAC,morpholinium salicylate
29349990,13732-62-2,0020527-6,237-301-3,,IUPAC,morpholinium toluene-4-sulfonate
29349990,1440-62-6,0020528-7,,,IUPAC,4-(morpholinoacetyl)morpholine
29349990,5807-11-4,0020529-8,,,IUPAC,4-morpholinobutyronitrile
29349990,622-40-2,0020531-2,210-734-5,,IUPAC,2-morpholinoethanol
29349990,41155-82-2,0020532-3,,,IUPAC,N-2-hydroxyethylmorpholinium chloride
29349990,34750-64-6,0020533-4,,,IUPAC,2-(2-morpholinoethylamino)ethanol
29349990,6506-37-2,0020534-5,,,INN,nimorazole
29349990,139-91-3,0020535-6,,,INN,furaltadone
29349990,6327-69-1,0020536-7,228-696-3,,IUPAC,2-morpholino-2-phenylacetamide
29349990,15190-10-0,0020537-8,239-242-9,,IUPAC,morpholino(phenyl)acetonitrile
29349990,4542-47-6,0020538-9,224-894-9,,IUPAC,3-morpholinopropiononitrile
29349990,2846-96-0,0020539-0,220-645-3,,IUPAC,6-morpholinopurine
29349990,3739-70-6,0020540-3,223-124-9,,IUPAC,"5-morpholino-1,2,3,4-thiatriazole"
29349990,109-11-5,0020541-4,203-647-9,,IUPAC,morpholin-3-one
29349990,144-41-2,0020542-5,,,ISO,morphothion
29349990,83-31-8,0020584-5,201-468-0,,IUPAC,"naphthalene-1,8-sultone"
29349990,846-63-9,0020678-0,212-689-7,,IUPAC,2-(1-naphthyl)-5-phenyloxazole
29349990,53-84-9,0020780-7,,,INN,nadide
29349990,53-59-8,0020781-8,,,INNM,nadide phosphate
29349990,74663-65-3,0020782-9,,,INNM,"nadide phosphate, sodium salt"
29349990,4936-47-4,0020801-5,,,INN,nifuratel
29349990,67-20-9,0020899-1,,,INN,nitrofurantoin
29349990,609-40-5,0021014-0,210-190-9,,IUPAC,2-nitrothiophene
29349990,4430-25-5,0021099-1,,,IUPAC,"4,4'-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2,6-dibromophenol)"
29349990,115-67-3,0021317-2,,,INN,paramethadione
29349990,15421-88-2,0021421-1,239-435-8,,IUPAC,2-diethylaminoethyl α-cyclopentyl-α-2-thienylglycolate
29349990,60-44-6,0021423-3,200-478-2,,IUPAC,2-(α-cyclopentyl-α-2-thienylglycoloyloxy)ethyldiethyl(methyl)ammonium bromide
29349990,467-84-5,0021518-9,,,INN,phenadoxone
29349990,545-91-5,0021519-0,,,INNM,phenadoxone hydrochloride
29349990,4378-36-3,0021547-4,,,INN,fenbutrazate
29349990,6474-85-7,0021548-5,,,INNM,fenbutrazate hydrochloride
29349990,143-74-8,0021595-2,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)diphenol"
29349990,260-25-3,0021601-3,,,IUPAC,phenoxarsine
29349990,950-47-0,0021602-4,,,IUPAC,"phenoxathiin 10,10-dioxide"
29349990,92-53-5,0021781-2,202-164-0,,IUPAC,4-phenylmorpholine
29349990,3302-83-8,0021794-7,,,IUPAC,1-phenylphosphorinane
29349990,51410-30-1,0021798-1,,,INNM,pirenoxine sodium
29349990,2310-17-0,0021880-4,218-996-2,2783,ISO,phosalone
29349990,15182-83-9,0021893-9,239-232-4,,IUPAC,"7-chloro-5-methyl-2H-1,4-benzothiazin-3(4H)-one"
29349990,2167-85-3,0021985-2,,,INN,pipazetate
29349990,6056-11-7,0021986-3,,,INNM,pipazetate hydrochloride
29349990,60662-82-0,0022019-9,,,IUPAC,1-methyl-1-(2-xanthen-9-ylethyl)piperidinium bromide
29349990,74512-20-2,0022020-2,,,IUPAC,"3-piperidinopropyl 10H-pyrido[3,2-b][1,4]benzothiazine-10-carboxylate"
29349990,140-65-8,0022341-6,,,INN,pramocaine
29349990,637-58-1,0022342-7,,,INNM,pramocaine hydrochloride
29349990,1120-71-4,0022434-0,214-317-9,2811,IUPAC,"1,2-oxathiolane 2,2-dioxide"
29349990,13679-75-9,0022473-7,237-182-8,,IUPAC,1-(2-thienyl)propan-1-one
29349990,362-75-4,0022544-5,206-650-3,,IUPAC,"2',3'-isopropylideneadenosine"
29349990,362-76-5,0022547-8,206-651-9,,IUPAC,"2',3'-isopropylideneguanosine"
29349990,2140-11-6,0022548-9,218-388-7,,IUPAC,"2',3'-isopropylideneinosine"
29349990,362-43-6,0022549-0,206-647-7,,IUPAC,"2',3'-isopropylideneuridine"
29349990,303-69-5,0022616-4,,,INN,prothipendyl
29349990,74525-36-3,0022617-5,,,INNM,prothipendyl hydrochloride
29349990,15686-83-6,0022642-6,,,INN,pyrantel
29349990,33401-94-4,0022643-7,,,INNM,pyrantel hydrogen tartrate
29349990,32638-88-3,0022717-8,251-134-3,,IUPAC,"2-(6H-6-oxo-3,4,5-trihydroxyxanthen-9-yl)benzenesulfonic acid"
29349990,545-59-5,0022810-4,,,INN,racemoramide
29349990,62758-13-8,0022822-8,263-718-5,,IUPAC,7-sodiooxy-3H-phenoxazin-3-one 10-oxide
29349990,63231-63-0,0022851-3,,,COMMON,ribonucleribonucleasesic acid
29349990,73049-39-5,0023197-0,,,IUPAC,sodium deoxyribonucleate
29349990,63182-22-9,0023199-2,263-991-0,,IUPAC,"sodium naphtho[2,1-d][1,2,3]oxadiazole-6-sulfonate"
29349990,0-00-0,0023486-6,,,COMMON,sodium ribonucleate
29349990,74664-08-7,0023527-8,,,IUPAC,"sodium N-(5-(1,2-dithiolan-3-yl)valeryl)glycinate"
29349990,23940-36-5,0023638-4,245-943-0,,IUPAC,"pentasodium 2-(2-oxido-3,5-disulfonatophenoxy)-1,3,2-benzodioxastibole-4,6-disulfonate"
29349990,76-60-8,0023895-9,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2,6-dibromo-3-methylphenol)"
29349990,115-39-9,0023901-0,,,IUPAC,"4,4'-(1,1-dioxido-3H-2,1-benzoxathiole-3,3-diyl)bis(2,6-dibromophenol)"
29349990,34725-61-6,0023902-1,,,COMMON,"bromophenol blue, sodium salt"
29349990,3958-03-0,0023904-3,223-554-7,,IUPAC,tetrabromothiophene
29349990,6012-97-1,0023935-0,227-866-4,,IUPAC,tetrachlorothiophene
29349990,26155-31-7,0024022-2,,,INNM,morantel tartrate
29349990,19259-11-1,0024062-0,242-924-9,,IUPAC,tetraiodothiophene
29349990,5036-02-2,0024120-3,,,INN,tetramisole
29349990,5086-74-8,0024121-4,,,INNM,tetramisole hydrochloride
29349990,527-72-0,0024176-9,208-423-4,,IUPAC,2-thenoic acid
29349990,74563-81-8,0024177-0,,,IUPAC,O-2-thenoylserine
29349990,91-79-2,0024178-1,,,INN,thenyldiamine
29349990,958-93-0,0024179-2,,,INNM,thenyldiamine hydrochloride
29349990,287-27-4,0024189-4,206-015-0,,IUPAC,thietane
29349990,4753-80-4,0024190-7,225-279-8,,IUPAC,thiepane
29349990,1613-51-0,0024191-8,216-561-1,,IUPAC,thiane
29349990,638-17-5,0024194-1,211-323-3,,IUPAC,"5,6-dihydro-2,4,6-trimethyl-1,3,5-dithiazine"
29349990,92-85-3,0024199-6,202-197-0,,IUPAC,thianthrene
29349990,261-31-4,0024200-2,205-972-1,,IUPAC,"10H-dibenzo[b,e]thiin"
29349990,2021-58-1,0024208-0,217-967-1,,IUPAC,3-(2-thienyl)alanine
29349990,92-35-3,0024221-7,202-149-9,,IUPAC,"2-(2,7-dimethyl-5H-thiazolo[3',2':1,2]pyrimido[4,5-d]pyrimidin-8-yl)ethanol"
29349990,940-69-2,0024223-9,,,IUPAC,"5-(1,2-dithiolan-3-yl)pentanamide"
29349990,538-70-5,0024224-0,,,IUPAC,"4-(1,2-dithiolan-3-yl)butyric acid"
29349990,1077-28-7,0024225-1,214-071-2,,IUPAC,"5-(1,2-dithiolan-3-yl)valeric acid"
29349990,110-01-0,0024263-7,203-728-9,2412,IUPAC,tetrahydrothiophene
29349990,126-33-0,0024264-8,204-783-1,,IUPAC,"tetrahydrothiophene 1,1-dioxide"
29349990,1600-44-8,0024265-9,216-493-2,,IUPAC,tetrahydrothiophene 1-oxide
